nmu      tdc      omegab      d      he3      he4      li6      li7      heavy
   2.0184E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   2.0606E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   2.1038E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   2.1478E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   2.1928E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   2.2387E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   2.2856E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   2.3335E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   2.3823E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   2.4322E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   2.4831E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   2.5351E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   2.5882E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   2.6424E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   2.6977E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   2.7542E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   2.8119E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   2.8708E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   2.9309E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   2.9923E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
